d       s       a       m_i     
2       1       0       1 
3       2       1       1 3 
4       3       1       1 3 1 
5       3       2       1 1 1 
6       4       1       1 1 3 3 
7       4       4       1 3 5 13 
8       5       2       1 1 5 5 17 
9       5       4       1 1 5 5 5 
10      5       7       1 1 7 11 19 
11      5       11      1 1 5 1 1 
12      5       13      1 3 7 1 19 
13      5       14      1 3 3 5 7 
14      6       1       1 3 3 13 9 53 
15      6       13      1 1 5 11 1 1 
16      6       16      1 1 3 7 21 51 
17      6       19      1 1 1 15 1 5 
18      6       22      1 3 1 9 9 1 
19      6       25      1 1 5 5 17 61 
20      7       1       1 3 1 15 29 57 87 
21      7       4       1 3 5 15 3 11 17 
22      7       7       1 3 3 7 5 17 65 
23      7       8       1 3 5 1 25 29 49 
24      7       14      1 1 3 7 15 39 119 
25      7       19      1 3 3 5 19 51 61 
26      7       21      1 1 5 15 11 47 15 
27      7       28      1 1 7 3 29 51 51 
28      7       31      1 1 3 15 19 17 13 
29      7       32      1 3 7 3 17 9 93 
30      7       37      1 3 7 5 7 29 111 
31      7       41      1 1 7 9 25 19 105 
32      7       42      1 1 1 11 21 35 107 
33      7       50      1 1 5 11 19 53 25 
34      7       55      1 3 1 3 27 29 31 
35      7       56      1 1 5 13 27 19 61 
36      7       59      1 3 1 3 25 33 105 
37      7       62      1 3 7 11 27 55 1 
38      8       14      1 1 7 1 9 45 97 63 
39      8       21      1 1 7 9 3 17 85 213 
40      8       22      1 1 1 3 31 35 93 35 
41      8       38      1 3 5 9 1 63 117 35 
42      8       47      1 3 1 9 21 3 53 29 
43      8       49      1 3 1 9 29 33 43 181 
44      8       50      1 3 7 3 21 45 121 141 
45      8       52      1 1 1 13 5 49 45 77 
46      8       56      1 1 3 3 1 47 37 151 
47      8       67      1 3 7 5 9 51 61 95 
48      8       70      1 1 1 7 31 23 81 105 
49      8       84      1 3 5 15 15 9 115 55 
50      8       97      1 3 3 13 15 1 87 11 
51      8       103     1 3 5 1 5 9 29 241 
52      8       115     1 1 1 9 19 5 115 191 
53      8       122     1 1 1 15 1 57 107 49 
54      9       8       1 1 7 7 23 21 71 187 207 
55      9       13      1 3 3 5 11 35 101 7 501 
56      9       16      1 3 5 15 29 5 61 205 301 
57      9       22      1 1 7 13 7 39 127 243 307 
58      9       25      1 3 7 13 29 9 93 187 429 
59      9       44      1 3 3 11 15 35 85 159 223 
60      9       47      1 1 3 1 13 3 111 17 411 
61      9       52      1 1 1 7 31 21 103 175 97 
62      9       55      1 1 1 15 11 21 63 45 29 
63      9       59      1 3 5 3 13 45 53 191 455 
64      9       62      1 3 3 13 11 37 65 45 371 
65      9       67      1 1 1 15 23 9 123 97 497 
66      9       74      1 1 7 7 5 13 33 169 411 
67      9       81      1 1 3 13 29 61 67 1 167 
68      9       82      1 1 7 3 11 21 25 87 507 
69      9       87      1 3 1 9 31 37 3 89 113 
70      9       91      1 1 5 11 5 11 83 85 421 
71      9       94      1 3 5 7 23 9 111 135 337 
72      9       103     1 3 5 15 3 39 81 249 363 
73      9       104     1 1 7 15 9 49 79 103 19 
74      9       109     1 3 1 1 17 31 45 205 381 
75      9       122     1 1 1 1 11 45 89 1 365 
76      9       124     1 1 1 15 7 63 55 185 373 
77      9       137     1 1 1 3 17 19 23 7 265 
78      9       138     1 1 3 15 13 31 53 235 309 
79      9       143     1 3 1 5 1 63 73 155 33 
80      9       145     1 1 1 15 19 57 21 45 203 
81      9       152     1 3 5 9 13 27 55 215 181 
82      9       157     1 1 7 3 11 39 55 219 401 
83      9       167     1 1 1 7 9 13 3 181 395 
84      9       173     1 3 1 15 13 19 23 145 97 
85      9       176     1 1 1 15 23 15 55 3 243 
86      9       181     1 1 3 15 15 5 115 169 415 
87      9       182     1 1 7 15 31 15 119 89 37 
88      9       185     1 1 5 3 25 23 23 133 467 
89      9       191     1 3 5 15 11 7 73 209 331 
90      9       194     1 3 7 11 29 51 119 105 63 
91      9       199     1 1 5 9 19 21 53 211 231 
92      9       218     1 3 5 1 7 23 27 67 445 
93      9       220     1 1 5 15 21 53 117 229 13 
94      9       227     1 3 5 11 19 55 53 13 349 
95      9       229     1 3 1 9 19 25 79 55 355 
96      9       230     1 3 3 5 31 27 105 63 21 
97      9       234     1 3 3 15 13 37 39 13 459 
98      9       236     1 1 1 7 25 61 93 195 441 
99      9       241     1 3 3 3 7 35 55 103 159 
100     9       244     1 1 7 11 7 33 49 113 331 
101     9       253     1 3 1 1 1 31 35 63 465 
102     10      4       1 3 5 1 13 43 83 177 461 747 
103     10      13      1 3 7 3 21 5 19 135 483 181 
104     10      19      1 3 1 9 25 3 37 147 483 743 
105     10      22      1 1 5 3 1 1 101 163 165 957 
106     10      50      1 3 5 1 15 41 117 7 71 357 
107     10      55      1 3 5 9 27 11 55 5 11 863 
108     10      64      1 1 1 1 27 43 51 211 265 403 
109     10      69      1 1 7 3 31 35 61 43 223 441 
110     10      98      1 3 1 7 19 61 59 63 401 767 
111     10      107     1 3 1 9 23 39 83 249 129 843 
112     10      115     1 3 7 13 1 49 61 115 289 85 
113     10      121     1 1 5 13 7 17 35 95 235 49 
114     10      127     1 3 3 11 9 9 91 141 305 955 
115     10      134     1 3 7 11 17 3 77 95 507 627 
116     10      140     1 3 7 1 31 43 31 217 67 853 
117     10      145     1 1 7 15 17 33 31 91 465 209 
118     10      152     1 1 7 7 31 41 101 95 431 203 
119     10      158     1 3 7 1 23 45 123 111 457 655 
120     10      161     1 3 3 5 9 27 37 195 11 99 
121     10      171     1 1 3 9 7 39 81 171 97 775 
122     10      181     1 1 1 3 3 27 93 149 321 537 
123     10      194     1 3 1 3 13 3 59 137 505 395 
124     10      199     1 1 1 11 15 53 77 235 439 829 
125     10      203     1 3 3 1 25 61 65 53 207 891 
126     10      208     1 3 3 15 29 39 67 203 495 795 
127     10      227     1 3 7 1 15 17 119 83 411 1015 
128     10      242     1 1 7 1 13 37 69 147 141 229 
129     10      251     1 3 5 1 11 31 73 99 133 45 
130     10      253     1 1 5 11 31 49 51 45 27 415 
131     10      265     1 3 1 11 23 19 85 17 41 625 
132     10      266     1 3 5 9 3 37 9 57 59 383 
